"","word","value"
"1","abandon",-0.75
"2","abandoned",-0.5
"3","abandoner",-0.25
"4","abandonment",-0.25
"5","abandons",-1
"6","abducted",-1
"7","abduction",-0.5
"8","abductions",-1
"9","aberrant",-0.6
"10","aberration",-0.8
"11","abhor",-0.5
"12","abhorred",-1
"13","abhorrent",-0.5
"14","abhors",-1
"15","abilities",0.6
"16","ability",0.5
"17","abject",-1
"18","ablaze",-0.25
"19","abnormal",-0.5
"20","aboard",0.25
"21","abolish",-0.5
"22","abominable",-0.5
"23","abominably",-1
"24","abominate",-1
"25","abomination",-0.5
"26","abort",-0.5
"27","aborted",-0.8
"28","abortion",-0.8
"29","abortive",-1
"30","aborts",-0.6
"31","abound",0.25
"32","abounds",0.25
"33","abrasion",-0.6
"34","abrasive",-0.5
"35","abrogate",-0.4
"36","abrupt",-0.25
"37","abruptly",-0.25
"38","abscess",-0.5
"39","abscond",-1
"40","absence",-0.5
"41","absent",-0.6
"42","absentee",-0.75
"43","absenteeism",-1
"44","absentees",-0.6
"45","absentminded",-0.8
"46","absolute",-0.25
"47","absolution",0.1
"48","absolve",1
"49","absolved",1
"50","absolves",1
"51","absolving",1
"52","absorbed",0.5
"53","abstinence",-0.25
"54","abstractedly",-0.25
"55","abstraction",-0.25
"56","absurd",-0.75
"57","absurdity",-0.5
"58","absurdly",-0.8
"59","absurdness",-0.8
"60","abundance",0.6
"61","abundant",0.5
"62","abuse",-1
"63","abused",-0.75
"64","abuses",-0.5
"65","abusive",-0.5
"66","abysmal",-0.5
"67","abysmally",-1
"68","abyss",-0.75
"69","academic",0.4
"70","academy",0.4
"71","accentuated",0.25
"72","accept",1
"73","acceptable",0.5
"74","acceptance",0.8
"75","accepted",0.8
"76","accepting",0.6
"77","accepts",0.8
"78","accessable",0.8
"79","accessible",0.75
"80","accident",-0.5
"81","accidental",-1
"82","accidentally",-0.6
"83","accidents",-0.6
"84","acclaim",0.6
"85","acclaimed",0.6
"86","acclamation",0.6
"87","accolade",0.5
"88","accolades",0.6
"89","accommodation",0.4
"90","accommodative",0.8
"91","accompaniment",0.6
"92","accompany",0.4
"93","accompanying",0.25
"94","accomplish",0.75
"95","accomplished",0.75
"96","accomplishes",0.8
"97","accomplishment",0.5
"98","accomplishments",1
"99","accord",0.8
"100","accordingly",0.25
"101","accost",-0.8
"102","accosted",-0.8
"103","accountability",0.8
"104","accountable",0.8
"105","accountant",-0.25
"106","accredited",0.8
"107","accumulate",0.25
"108","accurate",0.5
"109","accurately",0.6
"110","accursed",-0.5
"111","accusation",-1
"112","accusations",-0.75
"113","accusative",-1
"114","accuse",-0.5
"115","accused",-0.5
"116","accuser",-1
"117","accuses",-0.5
"118","accusing",-1
"119","accusingly",-1
"120","ace",0.8
"121","acerbate",-1
"122","ache",-0.75
"123","ached",-1
"124","aches",-0.5
"125","achey",-0.8
"126","achievable",0.8
"127","achieve",1
"128","achievement",0.5
"129","achievements",1
"130","aching",-0.75
"131","achy",-1
"132","acid",-0.4
"133","acing",0.25
"134","acknowledgment",0.4
"135","acquire",0.8
"136","acquired",0.8
"137","acquiring",0.8
"138","acquit",-0.25
"139","acquits",-0.25
"140","acquitted",-0.25
"141","acquitting",-0.25
"142","acrid",-0.5
"143","acridly",-1
"144","acridness",-1
"145","acrimonious",-0.5
"146","acrimoniously",-1
"147","acrimony",-1
"148","action",0.25
"149","actionable",0.25
"150","active",0.25
"151","actual",0.4
