,text_raw,text_clean
0,"Paul Tucker: Macro, asset price, and financial system uncertainties Text of the Roy Bridge Lecture delivered by Mr Paul Tucker, Executive Director Markets and Member of the Monetary Policy Committee of the Bank of England, at the Bank of England, London, 11 December 2006.",paul tucker macro asset price and financial system uncertainty text of the roy bridge lecture deliver by mr paul tucker executive director market and member of the monetary policy committee of the bank of england at the bank of england london december
1,"It is a great privilege to give this lecture, named in honour of Roy Bridge, for many years a very distinguished head of foreign exchange at the Bank of England and the first President of your association, the ACI.",it be a great privilege to give this lecture name in honour of roy bridge for many year a very distinguish head of foreign exchange at the bank of england and the ﻿1 president of your association the aci
2,"The world in which Bridge worked was so very different from ours that, although my responsibilities cover the same part of the Bank, I cannot really imagine what he would have made of three striking features of the current environment which I plan to review this evening.",the world in which bridge work be so very different from ours that although my responsibility cover the same part of the bank i can not really imagine what he would have make of three strike feature of the current environment which i plan to review this even
3,"First, while monetary authorities are commonly given some of the credit for the return of macroeconomic stability, central bankers themselves devote a great deal of effort to conveying what they see as risks to the outlook.",﻿1 while monetary authority be commonly give some of the credit for the return of macroeconomic stability central banker themselves devote a great deal of effort to convey what they see a risk to the outlook
4,"Second, while some distinguished commentators see a puzzle in lower macro volatility not having been matched by an equally large decline in asset price volatility, central bankers by contrast worry publicly that many financial asset prices imply unusually low future volatility.",2 while some distinguish commentator see a puzzle in low macro volatility not have be match by a equally large decline in asset price volatility central banker by contrast worry publicly that many financial asset price imply unusually low future volatility
5,"And third, while central bankers and others in the official sector celebrate the gains in risk transfer and efficiency brought by recent changes in the structure of the financial system, they also issue warnings about associated threats to systemic stability.",and 3 while central banker and other in the official sector celebrate the gain in risk transfer and efficiency bring by recent change in the structure of the financial system they also issue warning about associate threat to systemic stability
6,"These three arenas of uncertainty  macroeconomic, financial asset pricing, and the financial system  are of course intertwined, but I shall initially find it convenient to unbundle them.",this three arena of uncertainty macroeconomic financial asset price and the financial system be of course intertwine but i shall initially find it convenient to unbundle them
7,"Macroeconomic and monetary policy uncertainties The characteristics of the Great Stability, as some economists call it1, are by now familiar.",macroeconomic and monetary policy uncertainty the characteristic of the great stability a some economist call it1 be by now familiar
8,"Essentially, low inflation on average; much less persistence in deviations of inflation from central banks explicit or implicit targets; and much lower volatility in both output growth and inflation2.",essentially low inflation on average much little persistence in deviation of inflation from central bank explicit or implicit target and much low volatility in both output growth and inflation2
9,"Some of the credit is typically given to better monetary regimes, and I believe it should be.",some of the credit be typically give to well monetary regime and i believe it should be
10,"Yet policy makers also stress a wide range of uncertainties, threatening at least interruptions to the benign conditions of the past decade or so.",yet policy maker also stress a wide range of uncertainty threaten at little interruption to the benign condition of the past decade or so
11,This is not just an occupational disposition of central bankers.,this be not just a occupational disposition of central banker
12,"To varying degrees, these uncertainties do feature in real-world policy debates.",to vary degree this uncertainty do feature in real world policy debate
13,I have argued previously3 that some risks  such as those posed by global current account imbalances  could not sensibly be factored in to policy settings ahead of their crystallising.,i have argue previously3 that some risk such a that pose by global current account imbalance can not sensibly be factor in to policy setting ahead of their crystallise
14,"But uncertainties about the structure of the economy and how monetary policy works do somehow have to feature in our policy judgments, as I can illustrate with the thinking behind my vote at the MPCs November meeting4.",but uncertainty about the structure of the economy and how monetary policy work do somehow have to feature in our policy judgment a i can illustrate with the think behind my vote at the mpcs november meeting4
