,text_raw,text_clean
0,"Timothy F Geithner: Developments in the global economy and implications for the United States Remarks by Mr Timothy F Geithner, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Council on Foreign Relations' C Peter McColough Roundtable Series on International Economics, New York, 11 January 2007.",timothy f geithner development in the global economy and implication for the unite state remark by mr timothy f geithner president and chief executive officer of the federal reserve bank of new york at the council on foreign relation c peter mccolough roundtable series on international economics new york january
1,"It is a pleasure to be here at the Council on Foreign Relations, and to be here with Jerry Corrigan.",it be a pleasure to be here at the council on foreign relation and to be here with jerry corrigan
2,"A few brief remarks about the global economy, both the real and financial dimensions, to provide a basis for our discussion.",a few brief remark about the global economy both the real and financial dimension to provide a basis for our discussion
3,"2006 marked the fourth successive year of a global expansion that has been remarkable for its strength, for its breadth, and for its stability in the face of economic shocks and uncertainty in the geopolitical realm.",mark the 4 successive year of a global expansion that have be remarkable for its strength for its breadth and for its stability in the face of economic shock and uncertainty in the geopolitical realm
4,This period of broad-based growth in income has been supported by a number of important fundamental forces.,this period of broad base growth in income have be support by a numb of important fundamental force
5,Rapid technological innovation and greater economic integration have brought stronger growth and higher levels of productivity.,rapid technological innovation and great economic integration have bring strong growth and high level of productivity
6,The acceleration in productivity growth that occurred in the United States in the second half of the last decade seems likely to remain intact.,the acceleration in productivity growth that occur in the unite state in the 2 half of the last decade seem likely to remain intact
7,"And productivity growth is accelerating outside the United States, most strikingly in some of the large emerging economies.",and productivity growth be accelerate outside the unite state much strikingly in some of the large emerge economy
8,Financial innovation and greater integration of national financial systems has contributed to the strength of real economic activity by improving the allocation of resources within and among economies.,financial innovation and great integration of national financial system have contribute to the strength of real economic activity by improve the allocation of resource within and among economy
9,Improvements to risk management and to capital cushions are likely to have made the financial system more stable and more resilient.,improvement to risk management and to capital cushion be likely to have make the financial system much stable and much resilient
10,And macroeconomic policy has improved around the world.,and macroeconomic policy have improve around the world
11,The increase in monetary policy credibility in a broad range of countries has produced lower rates of inflation and more stability in inflation expectations.,the increase in monetary policy credibility in a broad range of country have produce low rate of inflation and much stability in inflation expectation
12,"Greater public confidence in monetary policy was critical to laying the foundation for the improvements in real economic performance, by providing a stable foundation for long-term investment decisions.",great public confidence in monetary policy be critical to lay the foundation for the improvement in real economic performance by provide a stable foundation for long term investment decision
13,"In emerging markets, better monetary policy has been accompanied by more disciplined and conservative fiscal policy and a range of other policies that have reduced, though not eliminated, vulnerability to changes in confidence, capital flows and exchange rate movements.",in emerge market well monetary policy have be accompany by much discipline and conservative fiscal policy and a range of other policy that have reduce though not eliminate vulnerability to change in confidence capital flow and exchange rate movement
14,"These factors are each fundamentally important, and they are, of course, interrelated.",this factor be each fundamentally important and they be of course interrelate
15,"The policies that delivered better inflation outcomes, more openness and competition and stronger financial systems were critical to fostering an environment in which improvements in productivity and growth could occur.",the policy that deliver well inflation outcome much openness and competition and strong financial system be critical to foster a environment in which improvement in productivity and growth can occur
16,This expansion has also been notable for the financial conditions that have prevailed over the past several years.,this expansion have also be notable for the financial condition that have prevail over the past several year
17,Long-term interest rates have remained relatively low in nominal and real terms.,long term interest rate have remain relatively low in nominal and real term
18,Equity and other asset prices have moved higher.,equity and other asset price have move high
19,Credit spreads have declined to quite low levels.,credit spread have decline to quite low level
20,Market participants report exceptionally high levels of liquidity.,market participant report exceptionally high level of liquidity
21,"And volatility, both realized and expected, has remained low across many different types of financial assets, market and economies.",and volatility both realize and expect have remain low across many different type of financial asset market and economy
22,"This general constellation of market conditions and asset prices is unusual, at least in comparison to what we have seen over the past several decades.",this general constellation of market condition and asset price be unusual at little in comparison to what we have see over the past several decade
23,"This has been a distinguishing feature of the present expansion, but it is not something we fully understand, and we cannot be confident in judgments about how durable it will prove to be.",this have be a distinguish feature of the present expansion but it be not something we fully understand and we can not be confident in judgment about how durable it will prove to be
24,"To a significant extent, these financial developments reflect a high degree of confidence in future macroeconomic and financial stability, reinforced by the improvements in inflation performance, growth outcomes and financial resilience of the past several years.",to a significant extent this financial development reflect a high degree of confidence in future macroeconomic and financial stability reinforce by the improvement in inflation performance growth outcome and financial resilience of the past several year
25,Better monetary policy has lowered expectations of future inflation and inflation volatility and has contributed to lower risk premiums in general.,well monetary policy have lower expectation of future inflation and inflation volatility and have contribute to low risk premium in general
26,Changes in the cyclical behavior of financial,change in the cyclical behavior of financial
27,BIS Review 2/2007,bis review
28,"intermediation and credit provision, coupled with the increased stability of the real economy, seem likely to have reinforced the improvements on the monetary policy front.",intermediation and credit provision couple with the increase stability of the real economy seem likely to have reinforce the improvement on the monetary policy front
29,"And rapid growth in the major emerging market economies, together with the substantial earnings of energy-producing and commodity-exporting countries, have produced a substantial increase in wealth and savings relative to perceived investment opportunities.",and rapid growth in the major emerge market economy together with the substantial earnings of energy produce and commodity export country have produce a substantial increase in wealth and saving relative to perceive investment opportunity
30,"In a world where capital can now flow much more freely across national borders, a significant portion of these savings has moved across national borders.",in a world where capital can now flow much much freely across national border a significant portion of this saving have move across national border
31,"These are powerful and fundamental forces, and they certainly help explain the broad reduction in risk premiums and the substantial demand for credit risk and financial assets.",this be powerful and fundamental force and they certainly help explain the broad reduction in risk premium and the substantial demand for credit risk and financial asset
32,"There are other factors at work as well, however, that have less favorable implications.",there be other factor at work a good however that have little favorable implication
33,"Part of this recent dynamic in financial markets is a consequence of the present state of the international monetary system, in which a substantial part of the world economy runs exchange rate regimes tied in some way to the dollar.",part of this recent dynamic in financial market be a consequence of the present state of the international monetary system in which a substantial part of the world economy run exchange rate regime tie in some way to the dollar
34,"This has entailed a sustained period of very substantial official accumulation of dollar reserves, putting downward pressure on U.S. interest rates and upward pressure on U.S. asset prices.",this have entail a sustain period of very substantial official accumulation of dollar reserve putt downward pressure on you s interest rate and upward pressure on you s asset price
35,"These forces are surely transitory, but their impact on capital flows, interest rates and asset prices are important, not just in terms of their short-term impact on growth.",this force be surely transitory but their impact on capital flow interest rate and asset price be important not just in term of their short term impact on growth
36,"If they are large enough, they have the potential to alter or distort current decisions about investment and consumption in a way that could be detrimental to our longer-run growth prospects.",if they be large enough they have the potential to alter or distort current decision about investment and consumption in a way that can be detrimental to our long run growth prospect
37,And they are important because they work to mask or dampen the effects on risk premiums in financial markets that we might otherwise expect to be associated with the expected trajectory of the fiscal and external imbalances in the United States.,and they be important because they work to mask or dampen the effect on risk premium in financial market that we may otherwise expect to be associate with the expect trajectory of the fiscal and external imbalance in the unite state
38,"Given this broad context, I want to touch briefly on some of the policy issues that are likely to be important to the prospects for economic performance, here and around the world.",give this broad context i want to touch briefly on some of the policy issue that be likely to be important to the prospect for economic performance here and around the world
39,"Despite the relatively favorable performance of the global economy, we face a range of daunting longer-term economic policy challenges.",despite the relatively favorable performance of the global economy we face a range of daunt long term economic policy challenge
40,The improvements in the conduct of monetary policy were critical to the improvements in productivity and growth that we are now seeing on a global scale.,the improvement in the conduct of monetary policy be critical to the improvement in productivity and growth that we be now see on a global scale
41,"And monetary policy will, of course, continue to be critical, but monetary policy alone cannot provide the elements of the framework necessary to provide an environment for innovation and long-term decisions that will be so vital for future growth.",and monetary policy will of course continue to be critical but monetary policy alone can not provide the element of the framework necessary to provide a environment for innovation and long term decision that will be so vital for future growth
42,"Economic policy, in general, needs to be more forward looking in providing a longer-term framework for stability.",economic policy in general need to be much forward look in provide a long term framework for stability
43,"On the fiscal policy front, demographic changes confront governments around the world with exceptionally difficult choices.",on the fiscal policy front demographic change confront government around the world with exceptionally difficult choice
44,"For the United States, these challenges are less acute than for many of the major economies, but they are still formidable in their scale and complexity.",for the unite state this challenge be little acute than for many of the major economy but they be still formidable in their scale and complexity
45,Even for the near term - for the period before the increase in number of retirees starts to have a major impact on Social Security and Medicare expenditures - we are running an unsustainably large fiscal deficit.,even for the near term for the period before the increase in numb of retiree start to have a major impact on social security and medicare expenditure we be run a unsustainably large fiscal deficit
46,"Despite the recent improvements in revenues, the expected trajectory for the fiscal deficit will mean that federal government debt will continue to rise as a share of GDP.",despite the recent improvement in revenue the expect trajectory for the fiscal deficit will mean that federal government debt will continue to rise a a share of gdp
47,The restoration of fiscal rules - such as those that require new tax cuts or expenditure programs to be funded with offsetting policy measures - will help reduce the risk of further deterioration.,the restoration of fiscal rule such a that that require new tax cut or expenditure program to be fund with offset policy measure will help reduce the risk of far deterioration
48,"However, they need to be complemented by a consensus on policy changes that will produce smaller future deficits.",however they need to be complement by a consensus on policy change that will produce small future deficit
49,"Restoring confidence in U.S. fiscal management would be important and necessary independent of the broader context of the global economy today, but it is more important given the size of our external imbalance, now running at the unprecedented level of 7 percent of GDP a year.",restore confidence in you s fiscal management would be important and necessary independent of the broad context of the global economy today but it be much important give the size of our external imbalance now run at the unprecedented level of percent of gdp a year
50,"The trade balance in real terms has been broadly stable over the past two years, but our net income payments have shifted to deficit, and the size of that component of the current account deficit seems likely to continue to expand.",the trade balance in real term have be broadly stable over the past two year but our net income payment have shift to deficit and the size of that component of the current account deficit seem likely to continue to expand
51,"These large global imbalances, our current account deficit and the surpluses that are the counterpart to our deficit, will have to come down over time.",this large global imbalance our current account deficit and the surplus that be the counterpart to our deficit will have to come down over time
52,How that process unfolds will depend on a complex mix of factors around the world.,how that process unfold will depend on a complex mix of factor around the world
53,Confidence that the U.S. political system will act to generate a sustainable fiscal trajectory is important to raising the probability that this process of adjustment unfolds with less risk.,confidence that the you s political system will act to generate a sustainable fiscal trajectory be important to raise the probability that this process of adjustment unfold with little risk
54,A successful conclusion of the Doha round of trade negotiations would provide some insurance against the risk that the process of economic integration will be interrupted or reversed.,a successful conclusion of the doha round of trade negotiation would provide some insurance against the risk that the process of economic integration will be interrupt or reverse
55,"Despite the relatively favorable average income gains of the past few years, a common feature of the political context in economies around the world is the fragility or weakness of public support for openness and economic integration.",despite the relatively favorable average income gain of the past few year a common feature of the political context in economy around the world be the fragility or weakness of public support for openness and economic integration
56,BIS Review 2/2007,bis review
57,The political challenge of sustaining support for the process of integration may be the most important economic challenge of our time.,the political challenge of sustain support for the process of integration may be the much important economic challenge of our time
58,"To paraphrase Lawrence Summers, it is not enough to explain that globalization is inevitable and that policies that look politically attractive as a response to economic anxiety will only hurt the economy as a whole.",to paraphrase lawrence summer it be not enough to explain that globalization be inevitable and that policy that look politically attractive a a response to economic anxiety will only hurt the economy a a whole
59,"Nor is it a politically effective strategy to state simply that economic integration is a necessary and powerful force in raising average incomes, or that technological change may be more important than trade or immigration as an explanation for slower growth in real wages for many Americans.",nor be it a politically effective strategy to state simply that economic integration be a necessary and powerful force in raise average income or that technological change may be much important than trade or immigration a a explanation for slow growth in real wage for many americans
60,Raising the quality of education and exploring ways to improve the safety net are a necessary part of the solution to this challenge.,raise the quality of education and explore way to improve the safety net be a necessary part of the solution to this challenge
61,But these reforms will have a long fuse and they may not yield the hoped-for increase in support.,but this reform will have a long fuse and they may not yield the hope for increase in support
62,"Trade does not appear to be more popular in countries with more generous safety nets, universal health care and highly subsidized higher education than it is today in the United States.",trade doe not appear to be much popular in country with much generous safety net universal health care and highly subsidize high education than it be today in the unite state
63,The political challenges of sustaining support for global economic integration and fiscal sustainability will be more difficult in the United States because of what has happened to the distribution of income and economic insecurity.,the political challenge of sustain support for global economic integration and fiscal sustainability will be much difficult in the unite state because of what have happen to the distribution of income and economic insecurity
64,"Several broad economic forces substantially complicate an already difficult set of political challenges: the long-term increase in income inequality, the slow pace of growth in real wages for the middle quintiles of the population, the increase in the volatility of income that is a reflection of the greater flexibility of the U.S. economy, and the greater exposure of households to the risk in financing retirement and the burden of paying for health care.",several broad economic force substantially complicate a already difficult set of political challenge the long term increase in income inequality the slow pace of growth in real wage for the middle quintile of the population the increase in the volatility of income that be a reflection of the great flexibility of the you s economy and the great exposure of household to the risk in finance retirement and the burden of pay for health care
65,"More generally, the global financial system and the monetary arrangements that underpin it are in the process of a delicate and consequential transition as the major emerging market economies particularly in Asia - move toward more mature monetary policy frameworks, more flexible exchange rate regimes and more open capital markets.",much generally the global financial system and the monetary arrangement that underpin it be in the process of a delicate and consequential transition a the major emerge market economy particularly in asia move toward much mature monetary policy framework much flexible exchange rate regime and much open capital market
66,"This transition will require careful management, and the economic dimensions of getting it right would be complicated even without the political pressures those governments face.",this transition will require careful management and the economic dimension of get it right would be complicate even without the political pressure that government face
67,One final note on the financial system.,one final note on the financial system
68,The global financial system is in the process of very dramatic change.,the global financial system be in the process of very dramatic change
69,"The changes of even just the last five years are extraordinary, in terms of the size, and strength, and scope of the major global firms, the role of private leveraged funds, the extent of risk transfer and the increase in the size of the derivatives market, the change in the structure of the credit market, the increase in and changes in the pattern of cross border financial flows.",the change of even just the last five year be extraordinary in term of the size and strength and scope of the major global firm the role of private leverage fund the extent of risk transfer and the increase in the size of the derivative market the change in the structure of the credit market the increase in and change in the pattern of cross border financial flow
70,"These changes, and others, seem likely to have made the financial system both more effective in moving capital to its most productive use and more stable and resilient over time.",this change and other seem likely to have make the financial system both much effective in move capital to its much productive use and much stable and resilient over time
71,"But they do not, of course, mean the end of systemic risk in financial markets.",but they do not of course mean the end of systemic risk in financial market
72,They could in some circumstances work to magnify rather than mitigate stress.,they can in some circumstance work to magnify rather than mitigate stress
73,"Central banks, supervisors and those running the major private financial institutions need to continue to work to ensure that what Jerry Corrigan calls the shock absorbers in the financial system - capital and liquidity and the operational infrastructure - are sufficiently strong and robust to withstand economic and financial conditions more adverse than we have seen in the recent past.",central bank supervisor and that run the major private financial institution need to continue to work to ensure that what jerry corrigan call the shock absorber in the financial system capital and liquidity and the operational infrastructure be sufficiently strong and robust to withstand economic and financial condition much adverse than we have see in the recent past
74,Thank you.,thank you
75,BIS Review 2/2007,bis review
76,"Timothy F Geithner: Liquidity and financial markets Keynote address by Mr Timothy F Geithner, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the 8th Annual Risk Convention and Exhibition, Global Association of Risk Professionals, New York, 28 February 2007.",timothy f geithner liquidity and financial market keynote address by mr timothy f geithner president and chief executive officer of the federal reserve bank of new york at the 8th annual risk convention and exhibition global association of risk professional new york february
77,We have been in a period that market participants have characterized as one of exceptional liquidity.,we have be in a period that market participant have characterize a one of exceptional liquidity
78,"This is both a reflection of, and has contributed to, the ongoing expansion in the world economy.",this be both a reflection of and have contribute to the ongoing expansion in the world economy
79,"I want to focus my remarks today on the role of liquidity in markets, and what supervisors and market participants can do to make markets more robust against the shocks that we know will occur from time to time.",i want to focus my remark today on the role of liquidity in market and what supervisor and market participant can do to make market much robust against the shock that we know will occur from time to time
80,"These remarks are directed to a general phenomenon related to developments in the financial markets in recent years, and not to the specific conditions of the moment.",this remark be direct to a general phenomenon relate to development in the financial market in recent year and not to the specific condition of the moment
81,Liquidity plays a central role in the functioning of financial markets.,liquidity play a central role in the function of financial market
82,Structural changes in the financial system that have been underway for some time increase the importance of market liquidity.,structural change in the financial system that have be underway for some time increase the importance of market liquidity
83,"The allocation of capital increasingly relies on securities markets, where funds for investment in the real economy are raised through the direct issuance of securities to investors.",the allocation of capital increasingly rely on security market where fund for investment in the real economy be raise through the direct issuance of security to investor
84,"A greater diversity of financial institutions, institutions other than banks, now play a more active role in the provision of credit and liquidity.",a great diversity of financial institution institution other than bank now play a much active role in the provision of credit and liquidity
85,Liquidity can mean many different things.,liquidity can mean many different thing
86,One dimension of liquidity is the availability of credit or the ease with which institutions can borrow or take on leverage.,one dimension of liquidity be the availability of credit or the ease with which institution can borrow or take on leverage
87,This is generally referred to as funding liquidity.,this be generally refer to a fund liquidity
88,"Another dimension of liquidity is the ease with which market participants can transact, or the ability of markets to absorb large purchases or sales without much effect on prices.",another dimension of liquidity be the ease with which market participant can transact or the ability of market to absorb large purchase or sale without much effect on price
89,This is what is generally called market liquidity.,this be what be generally call market liquidity
90,"Although these two concepts are distinct, they are closely related and are often mutually reinforcing.",although this two concept be distinct they be closely relate and be often mutually reinforce
91,Fundamentally this is so because when funding liquidity is abundant traders have the resources with which to finance trading positions that smooth price shocks and make markets liquid.,fundamentally this be so because when fund liquidity be abundant trader have the resource with which to finance trade position that smooth price shock and make market liquid
92,"In practice, this mutually reinforcing behavior is driven by a complex array of factors, including the degree of leverage embedded in the markets at any given time, the difficulty that lenders face in discerning whether a surge in volatility is driven by a transitory shock of some kind or a permanent shock to fundamentals, and risk management practices.",in practice this mutually reinforce behavior be drive by a complex array of factor include the degree of leverage embed in the market at any give time the difficulty that lender face in discern whether a surge in volatility be drive by a transitory shock of some kind or a permanent shock to fundamental and risk management practice
93,Institutions manage the credit risk in their trading-related exposure by requiring some counterparties to post collateral or margin.,institution manage the credit risk in their trade relate exposure by require some counterparties to post collateral or margin
