,text_raw,text_clean
0,"When I was playing my primitive brand of rhythm guitar with a group called the Rock Bottom Remainders, Warren Zevon used to gig with us.",when i be play my primitive brand of rhythm guitar with a group call the rock bottom remainder warren zevon use to gig with us
1,Warren loved gray t-shirts and movies like Kingdom of the Spiders.,warren love gray t shirt and movie like kingdom of the spider
2,"He insisted I sing lead on his signature tune, Werewolves of London, during the encore portion of our shows.",he insist i sing lead on his signature tune werewolf of london during the encore portion of our show
3,I said I was not worthy.,i say i be not worthy
4,He insisted that I was.,he insist that i be
5,"Key of G, Warren told me, and howl like you mean it.",key of g warren tell me and howl like you mean it
6,"Most important of all, play like Keith.",much important of all play like keith
7,"Ill never be able to play like Keith Richards, but I always did my best, and with Warren beside me, matching me note for note and laughing his fool head off, I always had a blast.",ill never be able to play like keith richards but i always do my well and with warren beside me match me note for note and laugh his fool head off i always have a blast
8,"Warren, this howl is for you, wherever you are.",warren this howl be for you wherever you be
9,"I miss you, buddy.",i miss you buddy
10,We stood at the turning point.,we stand at the turn point
11,Half-measures availed us nothing.,half measure avail us nothing
12,The Big Book of Alcoholics Anonymous,the big book of alcoholic anonymous
13,"If we were to live, we had to be free of anger.",if we be to live we have to be free of anger
14,[It is] the dubious luxury of normal men and women.,it be the dubious luxury of normal man and woman
15,The Big Book of Alcoholics Anonymous,the big book of alcoholic anonymous
16,PREFATORY MATTERS,prefatory matter
17,FEAR stands for fuck everything and run.,fear stand for fuck everything and run
18,Old AA saying,old aa say
19,"On the second day of December in a year when a Georgia peanut farmer was doing business in the White House, one of Colorados great resort hotels burned to the ground.",on the 2 day of december in a year when a georgia peanut farmer be do business in the white house one of colorados great resort hotel burn to the grind
20,The Overlook was declared a total loss.,the overlook be declare a total loss
21,"After an investigation, the fire marshal of Jicarilla County ruled the cause had been a defective boiler.",after a investigation the fire marshal of jicarilla county rule the because have be a defective boiler
22,"The hotel was closed for the winter when the accident occurred, and only four people were present.",the hotel be close for the winter when the accident occur and only four people be present
23,Three survived.,three survive
24,"The hotels off-season caretaker, John Torrance, was killed during an unsuccessful (and heroic) effort to dump the boilers steam pressure, which had mounted to disastrously high levels due to an inoperative relief valve.",the hotel off season caretaker john torrance be kill during a unsuccessful and heroic effort to dump the boiler steam pressure which have mount to disastrously high level due to a inoperative relief valve
25,Two of the survivors were the caretakers wife and young son.,two of the survivor be the caretaker wife and young son
26,"The third was the Overlooks chef, Richard Hallorann, who had left his seasonal job in Florida and come to check on the Torrances because of what he called a powerful hunch that the family was in trouble.",the 3 be the overlook chef richard hallorann who have leave his seasonal job in florida and come to check on the torrances because of what he call a powerful hunch that the family be in trouble
27,Both surviving adults were quite badly injured in the explosion.,both survive adult be quite badly injure in the explosion
28,Only the child was unhurt.,only the child be unhurt
29,"Physically, at least.",physically at little
30,Wendy Torrance and her son received a settlement from the corporation that owned the Overlook.,wendy torrance and her son receive a settlement from the corporation that own the overlook
31,"It wasnt huge, but enough to get them by for the three years she was unable to work because of back injuries.",it be not huge but enough to get them by for the three year she be unable to work because of back injury
32,"A lawyer she consulted told her that if she were willing to hold out and play tough, she might get a great deal more, because the corporation was anxious to avoid a court case.",a lawyer she consult tell her that if she be will to hold out and play tough she may get a great deal much because the corporation be anxious to avoid a court case
33,"But she, like the corporation, wanted only to put that disastrous winter in Colorado behind her.",but she like the corporation want only to put that disastrous winter in colorado behind her
34,"She would convalesce, she said, and she did, although back injuries plagued her until the end of her life.",she would convalesce she say and she do although back injury plague her until the end of her life
35,"Shattered vertebrae and broken ribs heal, but they never cease crying out.",shatter vertebra and break rib heal but they never cease cry out
36,"Winifred and Daniel Torrance lived in the mid-South for awhile, then drifted down to Tampa.",winifred and daniel torrance live in the mid south for awhile then drift down to tampa
37,Sometimes Dick Hallorann (he of the powerful hunches) came up from Key West to visit with them.,sometimes dick hallorann he of the powerful hunch come up from key west to visit with them
38,To visit with young Danny especially.,to visit with young danny especially
39,They shared a bond.,they share a bond
40,"One early morning in March of 1981, Wendy called Dick and asked if he could come.",one early morning in march of wendy call dick and ask if he can come
41,"Danny, she said, had awakened her in the night and told her not to go in the bathroom.",danny she say have awaken her in the night and tell her not to go in the bathroom
42,"After that, he refused to talk at all.",after that he refuse to talk at all
43,He woke up needing to pee.,he wake up need to pee
44,"Outside, a strong wind was blowing.",outside a strong wind be blow
45,"It was warmin Florida it almost always wasbut he did not like that sound, and supposed he never would.",it be warmin florida it almost always wasbut he do not like that sound and suppose he never would
46,"It reminded him of the Overlook, where the defective boiler had been the very least of the dangers.",it remind him of the overlook where the defective boiler have be the very little of the danger
47,He and his mother lived in a cramped second-floor tenement apartment.,he and his mother live in a cramp 2 floor tenement apartment
48,Danny left the little room next to his mothers and crossed the hall.,danny leave the little room next to his mother and cross the hall
49,The wind gusted and a dying palm tree beside the building clattered its leaves.,the wind gust and a dye palm tree beside the build clatter its leave
50,The sound was skeletal.,the sound be skeletal
51,"They always left the bathroom door open when no one was using the shower or the toilet, because the lock was broken.",they always leave the bathroom door open when no one be use the shower or the toilet because the lock be break
52,Tonight the door was closed.,tonight the door be close
53,"Not because his mother was in there, however.",not because his mother be in there however
54,"Thanks to facial injuries shed suffered at the Overlook, she now snoreda soft queep-queep soundand he could hear it coming from her bedroom.",thank to facial injury she would suffer at the overlook she now snoreda soft queep queep soundand he can hear it come from her bedroom
55,"Well, she closed it by accident, thats all.",good she close it by accident that be all
56,"He knew better, even then (he was possessed of powerful hunches and intuitions himself ), but sometimes you had to know.",he know well even then he be possess of powerful hunch and intuition himself but sometimes you have to know
57,Sometimes you had to see.,sometimes you have to see
58,"This was something he had found out at the Overlook, in a room on the second floor.",this be something he have find out at the overlook in a room on the 2 floor
59,"Reaching with an arm that seemed too long, too stretchy, too boneless, he turned the knob and opened the door.",reach with a arm that seem too long too stretchy too boneless he turn the knob and open the door
60,"The woman from Room 217 was there, as he had known she would be.",the woman from room be there a he have know she would be
61,She was sitting naked on the toilet with her legs spread and her pallid thighs bulging.,she be sit naked on the toilet with her leg spread and her pallid thigh bulge
62,Her greenish breasts hung down like deflated balloons.,her greenish breast hang down like deflate balloon
63,The patch of hair below her stomach was gray.,the patch of hair below her stomach be gray
64,"Her eyes were also gray, like steel mirrors.",her eye be also gray like steel mirror
65,"She saw him, and her lips stretched back in a grin.",she see him and her lip stretch back in a grin
66,"Close your eyes, Dick Hallorann had told him once upon a time.",close your eye dick hallorann have tell him once upon a time
67,"If you see something bad, close your eyes and tell yourself its not there and when you open them again, it will be gone.",if you see something bad close your eye and tell yourself its not there and when you open them again it will be go
68,"But it hadnt worked in Room 217 when he was five, and it wouldnt work now.",but it have not work in room when he be five and it would not work now
69,He knew it.,he know it
70,He could smell her.,he can smell her
71,She was decaying.,she be decay
72,"The womanhe knew her name, it was Mrs. Masseylumbered to her purple feet, holding out her hands to him.",the womanhe know her name it be mrs masseylumbered to her purple foot hold out her hand to him
73,"The flesh on her arms hung down, almost dripping.",the flesh on her arm hang down almost drip
74,She was smiling the way you do when you see an old friend.,she be smile the way you do when you see a old friend
75,"Or, perhaps, something good to eat.",or perhaps something good to eat
76,"With an expression that could have been mistaken for calmness, Danny closed the door softly and stepped back.",with a expression that can have be mistake for calmness danny close the door softly and step back
77,He watched as the knob turned right .,he watch a the knob turn right
78,. . left .,leave
79,. . right again .,right again
80,. . then stilled.,then still
81,"He was eight now, and capable of at least some rational thought even in his horror.",he be eight now and capable of at little some rational think even in his horror
82,"Partly because, in a deep part of his mind, he had been expecting this.",partly because in a deep part of his mind he have be expect this
83,Although he had always thought it would be Horace Derwent who would eventually show up.,although he have always think it would be horace derwent who would eventually show up
84,"Or perhaps the bartender, the one his father had called Lloyd.",or perhaps the bartender the one his father have call lloyd
85,"He supposed he should have known it would be Mrs. Massey, though, even before it finally happened.",he suppose he should have know it would be mrs massey though even before it finally happen
86,"Because of all the undead things in the Overlook, she had been the worst.",because of all the undead thing in the overlook she have be the wrong
87,The rational part of his mind told him she was just a fragment of unremembered bad dream that had followed him out of sleep and across the hall to the bathroom.,the rational part of his mind tell him she be just a fragment of unremembered bad dream that have follow him out of sleep and across the hall to the bathroom
88,"That part insisted that if he opened the door again, there would be nothing there.",that part insist that if he open the door again there would be nothing there
89,"Surely there wouldnt be, now that he was awake.",surely there would not be now that he be awake
90,"But another part of him, a part that shone, knew better.",but another part of him a part that shine know well
91,The Overlook wasnt done with him.,the overlook be not do with him
92,At least one of its vengeful spirits had followed him all the way to Florida.,at little one of its vengeful spirit have follow him all the way to florida
93,Once he had come upon that woman sprawled in a bathtub.,once he have come upon that woman sprawl in a bathtub
94,She had gotten out and tried to choke him with her fishy (but terribly strong) fingers.,she have get out and try to choke him with her fishy but terribly strong finger
95,"If he opened the bathroom door now, she would finish the job.",if he open the bathroom door now she would finish the job
96,He compromised by putting his ear against the door.,he compromise by putt his ear against the door
97,At first there was nothing.,at ﻿1 there be nothing
98,Then he heard a faint sound.,then he hear a faint sound
99,Dead fingernails scratching on wood.,dead fingernail scratch on wood
100,"Danny walked into the kitchen on not-there legs, stood on a chair, and peed into the sink.",danny walk into the kitchen on not there leg stand on a chair and pee into the sink
101,Then he woke his mother and told her not to go into the bathroom because there was a bad thing there.,then he wake his mother and tell her not to go into the bathroom because there be a bad thing there
102,"Once that was done, he went back to bed and sank deep beneath the covers.",once that be do he go back to bed and sink deep beneath the cover
